form_name,schema,element,qualifier,triplet
ufcatdiss_geografia,dc,date,available,dc.date.available
ufcatdiss_geografia,dc,date,issued,dc.date.issued
ufcatdiss_geografia,dc,description,abstract,dc.description.abstract
ufcatdiss_geografia,dc,description,resumo,dc.description.resumo
ufcatdiss_geografia,dc,description,sponsorship,dc.description.sponsorship
ufcatdiss_geografia,dc,language,,dc.language._
ufcatdiss_geografia,dc,publisher,,dc.publisher._
ufcatdiss_geografia,dc,publisher,country,dc.publisher.country
ufcatdiss_geografia,dc,publisher,department,dc.publisher.department
ufcatdiss_geografia,dc,publisher,initials,dc.publisher.initials
ufcatdiss_geografia,dc,publisher,program,dc.publisher.program
ufcatdiss_geografia,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_geografia,dc,rights,,dc.rights._
ufcatdiss_geografia,dc,subject,,dc.subject._
ufcatdiss_geografia,dc,subject,cnpq,dc.subject.cnpq
ufcatdiss_geografia,dc,title,,dc.title._
ufcatdiss_geografia,dc,type,,dc.type._
ufcatdiss_gestao,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_gestao,dc,creator,,dc.creator._
ufcatdiss_gestao,dc,date,available,dc.date.available
ufcatdiss_gestao,dc,date,issued,dc.date.issued
ufcatdiss_gestao,dc,language,iso,dc.language.iso
ufcatdiss_gestao,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_gestao,dc,title,,dc.title._
ufcatdiss_gestao,dc,type,,dc.type._
ufcatdiss_historia,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_historia,dc,creator,,dc.creator._
ufcatdiss_historia,dc,date,available,dc.date.available
ufcatdiss_historia,dc,date,issued,dc.date.issued
ufcatdiss_historia,dc,language,iso,dc.language.iso
ufcatdiss_historia,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_historia,dc,title,,dc.title._
ufcatdiss_historia,dc,type,,dc.type._
ufcatdiss_linguagem,dc,contributor,advisor1,dc.contributor.advisor1
ufcatdiss_linguagem,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_linguagem,dc,creator,,dc.creator._
ufcatdiss_linguagem,dc,date,available,dc.date.available
ufcatdiss_linguagem,dc,date,issued,dc.date.issued
ufcatdiss_linguagem,dc,description,abstract,dc.description.abstract
ufcatdiss_linguagem,dc,description,resumo,dc.description.resumo
ufcatdiss_linguagem,dc,description,sponsorship,dc.description.sponsorship
ufcatdiss_linguagem,dc,language,,dc.language._
ufcatdiss_linguagem,dc,publisher,,dc.publisher._
ufcatdiss_linguagem,dc,publisher,country,dc.publisher.country
ufcatdiss_linguagem,dc,publisher,department,dc.publisher.department
ufcatdiss_linguagem,dc,publisher,initials,dc.publisher.initials
ufcatdiss_linguagem,dc,publisher,program,dc.publisher.program
ufcatdiss_linguagem,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_linguagem,dc,rights,,dc.rights._
ufcatdiss_linguagem,dc,subject,,dc.subject._
ufcatdiss_linguagem,dc,subject,cnpq,dc.subject.cnpq
ufcatdiss_linguagem,dc,title,,dc.title._
ufcatdiss_linguagem,dc,type,,dc.type._
ufcatdiss_matematica,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_matematica,dc,creator,,dc.creator._
ufcatdiss_matematica,dc,date,available,dc.date.available
ufcatdiss_matematica,dc,date,issued,dc.date.issued
ufcatdiss_matematica,dc,language,iso,dc.language.iso
ufcatdiss_matematica,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_matematica,dc,title,,dc.title._
ufcatdiss_matematica,dc,type,,dc.type._
ufcatdiss_modelagem,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_modelagem,dc,creator,,dc.creator._
ufcatdiss_modelagem,dc,date,available,dc.date.available
ufcatdiss_modelagem,dc,date,issued,dc.date.issued
ufcatdiss_modelagem,dc,language,iso,dc.language.iso
ufcatdiss_modelagem,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_modelagem,dc,title,,dc.title._
ufcatdiss_modelagem,dc,type,,dc.type._
ufcatdiss_ppgcem,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_ppgcem,dc,creator,,dc.creator._
ufcatdiss_ppgcem,dc,date,available,dc.date.available
ufcatdiss_ppgcem,dc,date,issued,dc.date.issued
ufcatdiss_ppgcem,dc,language,iso,dc.language.iso
ufcatdiss_ppgcem,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_ppgcem,dc,title,,dc.title._
ufcatdiss_ppgcem,dc,type,,dc.type._
ufcatdiss_profbio,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_profbio,dc,creator,,dc.creator._
ufcatdiss_profbio,dc,date,available,dc.date.available
ufcatdiss_profbio,dc,date,issued,dc.date.issued
ufcatdiss_profbio,dc,language,iso,dc.language.iso
ufcatdiss_profbio,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_profbio,dc,title,,dc.title._
ufcatdiss_profbio,dc,type,,dc.type._
ufcatdiss_quimica,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_quimica,dc,creator,,dc.creator._
ufcatdiss_quimica,dc,date,available,dc.date.available
ufcatdiss_quimica,dc,date,issued,dc.date.issued
ufcatdiss_quimica,dc,language,iso,dc.language.iso
ufcatdiss_quimica,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_quimica,dc,title,,dc.title._
ufcatdiss_quimica,dc,type,,dc.type._
ufcatdiss_saude,dc,creator,Lattes,dc.creator.Lattes
ufcatdiss_saude,dc,creator,,dc.creator._
ufcatdiss_saude,dc,date,available,dc.date.available
ufcatdiss_saude,dc,date,issued,dc.date.issued
ufcatdiss_saude,dc,language,iso,dc.language.iso
ufcatdiss_saude,dc,publisher,programcode,dc.publisher.programcode
ufcatdiss_saude,dc,title,,dc.title._
ufcatdiss_saude,dc,type,,dc.type._
ufcatdissertation,dc,contributor,advisor-co1,dc.contributor.advisor-co1
ufcatdissertation,dc,contributor,advisor-co1Lattes,dc.contributor.advisor-co1Lattes
ufcatdissertation,dc,contributor,advisor1,dc.contributor.advisor1
ufcatdissertation,dc,contributor,advisor1Lattes,dc.contributor.advisor1Lattes
ufcatdissertation,dc,contributor,referee1,dc.contributor.referee1
ufcatdissertation,dc,contributor,referee2,dc.contributor.referee2
ufcatdissertation,dc,contributor,referee3,dc.contributor.referee3
ufcatdissertation,dc,contributor,referee4,dc.contributor.referee4
ufcatdissertation,dc,contributor,referee5,dc.contributor.referee5
ufcatdissertation,dc,creator,Lattes,dc.creator.Lattes
ufcatdissertation,dc,creator,,dc.creator._
ufcatdissertation,dc,date,available,dc.date.available
ufcatdissertation,dc,date,issued,dc.date.issued
ufcatdissertation,dc,description,abstract,dc.description.abstract
ufcatdissertation,dc,description,resumo,dc.description.resumo
ufcatdissertation,dc,description,sponsorship,dc.description.sponsorship
ufcatdissertation,dc,language,,dc.language._
ufcatdissertation,dc,publisher,,dc.publisher._
ufcatdissertation,dc,publisher,country,dc.publisher.country
ufcatdissertation,dc,publisher,department,dc.publisher.department
ufcatdissertation,dc,publisher,initials,dc.publisher.initials
ufcatdissertation,dc,publisher,program,dc.publisher.program
ufcatdissertation,dc,rights,,dc.rights._
ufcatdissertation,dc,subject,,dc.subject._
ufcatdissertation,dc,subject,cnpq,dc.subject.cnpq
ufcatdissertation,dc,title,,dc.title._
ufcatdissertation,dc,title,alternative,dc.title.alternative
ufcatdissertation,dc,type,,dc.type._
ufcatordinance,dc,creator,,dc.creator._
ufcatordinance,dc,date,created,dc.date.created
ufcatordinance,dc,date,issued,dc.date.issued
ufcatordinance,dc,description,status,dc.description.status
ufcatordinance,dc,publisher,department,dc.publisher.department
ufcatordinance,dc,relation,,dc.relation._
ufcatordinance,dc,relation,uri,dc.relation.uri
ufcatordinance,dc,source,,dc.source._
ufcatordinance,dc,subject,,dc.subject._
ufcatordinance,dc,title,,dc.title._
ufcatordinance,dc,title,alternative,dc.title.alternative
ufcatordinance,dc,type,,dc.type._
ufcatpolicy,dc,creator,,dc.creator._
ufcatpolicy,dc,date,created,dc.date.created
ufcatpolicy,dc,date,issued,dc.date.issued
ufcatpolicy,dc,description,status,dc.description.status
ufcatpolicy,dc,publisher,department,dc.publisher.department
ufcatpolicy,dc,relation,,dc.relation._
ufcatpolicy,dc,relation,uri,dc.relation.uri
ufcatpolicy,dc,source,,dc.source._
ufcatpolicy,dc,subject,,dc.subject._
ufcatpolicy,dc,title,,dc.title._
ufcatpolicy,dc,title,alternative,dc.title.alternative
ufcatpolicy,dc,type,,dc.type._
ufcatresolution,dc,creator,,dc.creator._
ufcatresolution,dc,date,created,dc.date.created
ufcatresolution,dc,date,issued,dc.date.issued
ufcatresolution,dc,description,status,dc.description.status
ufcatresolution,dc,publisher,department,dc.publisher.department
ufcatresolution,dc,relation,,dc.relation._
ufcatresolution,dc,relation,uri,dc.relation.uri
ufcatresolution,dc,source,,dc.source._
ufcatresolution,dc,subject,,dc.subject._
ufcatresolution,dc,title,,dc.title._
ufcatresolution,dc,title,alternative,dc.title.alternative
ufcatresolution,dc,type,,dc.type._
ufcattcc,dc,date,available,dc.date.available
ufcattcc,dc,date,issued,dc.date.issued
ufcattcc,dc,language,,dc.language._
ufcattcc,dc,publisher,,dc.publisher._
ufcattcc,dc,publisher,country,dc.publisher.country
ufcattcc,dc,publisher,course,dc.publisher.course
ufcattcc,dc,publisher,department,dc.publisher.department
ufcattcc,dc,publisher,initials,dc.publisher.initials
ufcattcc,dc,title,,dc.title._
ufcattcc,dc,title,alternative,dc.title.alternative
ufcattcc,dc,type,,dc.type._
ufcattcc,dc,type,degree,dc.type.degree
ufcattccautoria,dc,contributor,advisor-co1,dc.contributor.advisor-co1
ufcattccautoria,dc,contributor,advisor-co1Lattes,dc.contributor.advisor-co1Lattes
ufcattccautoria,dc,contributor,advisor1,dc.contributor.advisor1
ufcattccautoria,dc,contributor,advisor1Lattes,dc.contributor.advisor1Lattes
ufcattccautoria,dc,contributor,referee1,dc.contributor.referee1
